gene,scorer,n_total,n_positive,n_negative,auroc,auprc,auprc_ci_lo,auprc_ci_hi,top_5_pct_precision
CFTR,SPLICE_SITES,450,150,300,0.9994222222222222,0.9988487025825262,0.9967619238984105,0.9998703415140892,1.0
CFTR,SPLICE_SITE_USAGE,450,150,300,0.9676,0.9649138201038304,0.9439105090670036,0.9827337831739928,1.0
CFTR,SPLICE_JUNCTIONS,450,150,300,0.9793666666666668,0.9810132472852486,0.9619682736929976,0.9929722736807988,1.0
DMD,SPLICE_SITES,600,200,400,0.99995,0.9999019607843136,0.9996068815085845,1.0,1.0
DMD,SPLICE_SITE_USAGE,600,200,400,0.997375,0.9948832014363612,0.9896923351264496,0.9983088671857026,1.0
DMD,SPLICE_JUNCTIONS,600,200,400,0.8963812500000001,0.912907953398696,0.885749107414434,0.9453138542487723,1.0
MECP2,SPLICE_SITES,112,12,100,1.0,1.0,1.0,1.0,1.0
MECP2,SPLICE_SITE_USAGE,112,12,100,1.0,1.0,1.0,1.0,1.0
MECP2,SPLICE_JUNCTIONS,112,12,100,1.0,1.0,1.0,1.0,1.0
SCN1A,SPLICE_SITES,430,120,310,0.9940456989247312,0.982981321995822,0.9643861094456246,0.9955083980807068,1.0
SCN1A,SPLICE_SITE_USAGE,430,120,310,0.9875,0.9643255830353912,0.9392308712992624,0.983767980642141,1.0
SCN1A,SPLICE_JUNCTIONS,430,120,310,0.9810752688172044,0.9175911351667528,0.8611364919836568,0.9759798783855328,0.9545454545454546
SCN2A,SPLICE_SITES,230,30,200,0.998,0.9879718847460784,0.9648946947227152,1.0,1.0
SCN2A,SPLICE_SITE_USAGE,230,30,200,0.9925,0.9561077798733932,0.9035015959266264,0.9899356194198728,1.0
SCN2A,SPLICE_JUNCTIONS,230,30,200,0.9921666666666666,0.9640332062441364,0.9159455303941436,1.0,1.0
KCNQ2,SPLICE_SITES,550,200,350,0.6713285714285715,0.5656748699143566,0.5014406173080194,0.6338218443145829,0.9285714285714286
KCNQ2,SPLICE_SITE_USAGE,550,200,350,0.6554785714285715,0.5632505914695197,0.5004617421271377,0.627655791920285,0.9285714285714286
KCNQ2,SPLICE_JUNCTIONS,550,200,350,0.6805714285714285,0.5929606478132019,0.5219231642170309,0.6575831340089108,0.9285714285714286
COL4A5,SPLICE_SITES,550,200,350,0.6576928571428572,0.617965395716308,0.5594138939604898,0.6757548315319792,1.0
COL4A5,SPLICE_SITE_USAGE,550,200,350,0.6657,0.6306694365416725,0.5695624833255603,0.6895570966406954,1.0
COL4A5,SPLICE_JUNCTIONS,550,200,350,0.6603285714285714,0.6190230045336321,0.5597210920586448,0.6770089933866452,1.0
COL4A5,SPLICE_SITES,376,176,200,0.9965909090909092,0.996851507492962,0.9920555866493336,0.999720165440997,1.0
COL4A5,SPLICE_SITE_USAGE,376,176,200,1.0,1.0,0.9999999999999998,1.0000000000000002,1.0
COL4A5,SPLICE_JUNCTIONS,376,176,200,0.9763352272727271,0.9866679267979404,0.9719079289085042,0.9969018898154032,1.0
