gene,condition,n_total,n_path,n_ben,auroc,auprc,runtime_s
scn1a,avg,475,173,302,0.9822091643379398,0.9630888507767369,39.17885613441467
scn2a,avg,230,30,200,0.9966666666666667,0.9818426253897622,20.427645921707153
mecp2,avg,112,12,100,1.0,1.0,9.506064176559448
cftr,avg,450,150,300,0.9999555555555556,0.9999122807017545,35.70999884605408
dmd,avg,600,200,400,0.9992125,0.9983969988391523,48.99171304702759
scn1a,brain,475,173,302,0.9821708838954178,0.9626333368485527,38.42410898208618
scn2a,brain,230,30,200,0.9966666666666667,0.9818426253897622,19.247801780700684
mecp2,brain,112,12,100,1.0,1.0,8.871332168579102
cftr,brain,450,150,300,0.9998444444444445,0.999693796876783,35.86584973335266
dmd,brain,600,200,400,0.9985875,0.9969578463928876,50.83781099319458
