feature,n_folds,auroc_mean,auroc_std,auprc_mean,auprc_std,top5_mean,top5_std
dnase_frac_5bp,5,0.7356753812636165,0.07115458070000108,0.694472060380142,0.08257638482799068,1.0,0.0
dnase_concentration_5bp,5,0.7356753812636165,0.07115458070000108,0.694472060380142,0.08257638482799068,1.0,0.0
dnase_frac_15bp,5,0.6636710239651415,0.07056309902380996,0.6196087533481733,0.056187882321392844,1.0,0.0
dnase_magnitude,5,0.6893790849673203,0.06739557307818499,0.5772212177370846,0.07548724269339104,0.4,0.37416573867739417
dnase_max_value,5,0.6798474945533769,0.0414750960831135,0.5447138725997085,0.05579044532626874,0.1,0.20000000000000004
splice_magnitude,5,0.6111928104575164,0.02510763280016773,0.505658709106985,0.03503016257104115,1.0,0.0
splice_max_value,5,0.5896241830065361,0.04473634201035188,0.4998154463671705,0.037864864833858584,1.0,0.0
atac_max_value,5,0.5633714596949891,0.04501985713668447,0.47880257673361115,0.03071711009796763,0.8,0.2449489742783178
splice_frac_15bp,5,0.5479575163398692,0.05045792906804007,0.4707615351868225,0.04232851594400492,0.8,0.4
atac_magnitude,5,0.5458333333333334,0.04918843476439679,0.4698116687484504,0.042947407369828425,0.8,0.4000000000000001
splice_frac_5bp,5,0.510375816993464,0.050994792251485656,0.4516508544669463,0.027145494002941067,0.7,0.4
splice_concentration_5bp,5,0.510375816993464,0.050994792251485656,0.4516508544669463,0.027145494002941067,0.7,0.4
atac_frac_15bp,5,0.4708333333333333,0.05965708427947976,0.42619245271544115,0.030812343678799398,0.5,0.4472135954999579
atac_frac_5bp,5,0.4973583877995643,0.0695693694581652,0.42356858658582797,0.045240326948707686,0.5,0.4472135954999579
atac_concentration_5bp,5,0.4855936819172113,0.07301626396641399,0.4183567007704939,0.0475104157131842,0.5,0.4472135954999579
